,Class,Accuracy,Precision,Negative Predictive Rate,Sensitivity,Specificity,False Positive Rate,False Negative Rate,False Discovery Rate,F1 Score,No of samples
1,I,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
16,me,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
33,where,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
31,weight,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
29,vacation,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
27,this,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
26,thick,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
24,sugar,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
23,stand,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
22,some,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
21,snake,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
20,skin,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
2,add,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
17,measure,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
18,mirror,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
15,lose,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
3,assist,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
12,help,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
9,good,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
14,learn,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
7,friend,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
4,assistance,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
19,promise,0.9922279792746114,0.7692307692307693,1.0,1.0,0.9920212765957447,0.007978723404255319,0.0,0.23076923076923078,0.8695652173913043,20
8,ghost,0.9909326424870466,1.0,0.9906914893617021,0.7407407407407407,1.0,0.0,0.25925925925925924,0.0,0.851063829787234,20
11,handcuffs,0.9896373056994818,1.0,0.9893617021276596,0.7142857142857143,1.0,0.0,0.2857142857142857,0.0,0.8333333333333334,20
28,time,0.9896373056994818,1.0,0.9893617021276596,0.7142857142857143,1.0,0.0,0.2857142857142857,0.0,0.8333333333333334,20
10,gun,0.9883419689119171,1.0,0.988031914893617,0.6896551724137931,1.0,0.0,0.3103448275862069,0.0,0.8163265306122449,20
30,varanasi,0.9870466321243523,1.0,0.9867021276595744,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,0.8,20
32,what,0.9870466321243523,1.0,0.9867021276595744,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,0.8,20
25,there,0.9870466321243523,1.0,0.9867021276595744,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,0.8,20
5,boxing,0.9870466321243523,1.0,0.9867021276595744,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,0.8,20
13,how,0.9870466321243523,1.0,0.9867021276595744,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,0.8,20
34,you,0.9870466321243523,1.0,0.9867021276595744,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,0.8,20
6,control,0.8886010362694301,0.18867924528301888,1.0,1.0,0.8856382978723404,0.11436170212765957,0.0,0.8113207547169812,0.31746031746031744,20
