,Class,Accuracy,Precision,Negative Predictive Rate,Sensitivity,Specificity,False Positive Rate,False Negative Rate,False Discovery Rate,F1 Score,No of samples
3,assist,0.9955882352941177,1.0,0.995475113122172,0.85,1.0,0.0,0.15,0.0,0.918918918918919,20
4,assistance,0.9955882352941177,1.0,0.995475113122172,0.85,1.0,0.0,0.15,0.0,0.918918918918919,20
8,ghost,0.9852941176470589,0.6785714285714286,0.9984662576687117,0.95,0.9863636363636363,0.013636363636363636,0.05,0.32142857142857145,0.7916666666666666,20
7,friend,0.9852941176470589,0.6923076923076923,0.9969418960244648,0.9,0.9878787878787879,0.012121212121212121,0.1,0.3076923076923077,0.782608695652174,20
11,handcuffs,0.9426470588235294,0.3389830508474576,1.0,1.0,0.9409090909090909,0.05909090909090909,0.0,0.6610169491525424,0.5063291139240507,20
12,help,0.9352941176470588,0.3064516129032258,0.9983818770226537,0.95,0.9348484848484848,0.06515151515151515,0.05,0.6935483870967742,0.4634146341463415,20
6,control,0.9544117647058824,0.3333333333333333,0.9860896445131375,0.55,0.9666666666666667,0.03333333333333333,0.45,0.6666666666666666,0.41509433962264153,20
1,I,0.9088235294117647,0.24390243902439024,1.0,1.0,0.906060606060606,0.09393939393939393,0.0,0.7560975609756098,0.39215686274509803,20
5,boxing,0.9676470588235294,0.375,0.9747023809523809,0.15,0.9924242424242424,0.007575757575757576,0.85,0.625,0.21428571428571427,20
9,good,0.9058823529411765,0.13333333333333333,0.9806451612903225,0.4,0.9212121212121213,0.07878787878787878,0.6,0.8666666666666667,0.2,20
15,lose,0.9102941176470588,0.06382978723404255,0.9731437598736177,0.15,0.9333333333333333,0.06666666666666667,0.85,0.9361702127659575,0.08955223880597014,20
25,there,0.9544117647058824,0.0,0.9701046337817638,0.0,0.9833333333333333,0.016666666666666666,1.0,1.0,0.0,20
26,thick,0.9691176470588235,0.0,0.9705449189985272,0.0,0.9984848484848485,0.0015151515151515152,1.0,1.0,0.0,20
27,this,0.9691176470588235,0.0,0.9705449189985272,0.0,0.9984848484848485,0.0015151515151515152,1.0,1.0,0.0,20
31,weight,0.9544117647058824,0.0,0.9701046337817638,0.0,0.9833333333333333,0.016666666666666666,1.0,1.0,0.0,20
28,time,0.9676470588235294,0.0,0.9705014749262537,0.0,0.996969696969697,0.0030303030303030303,1.0,1.0,0.0,20
29,vacation,0.9573529411764706,0.0,0.970193740685544,0.0,0.9863636363636363,0.013636363636363636,1.0,1.0,0.0,20
30,varanasi,0.9661764705882353,0.0,0.9704579025110783,0.0,0.9954545454545455,0.004545454545454545,1.0,1.0,0.0,20
23,stand,0.9411764705882353,0.0,0.9696969696969697,0.0,0.9696969696969697,0.030303030303030304,1.0,1.0,0.0,20
24,sugar,0.9691176470588235,0.0,0.9705449189985272,0.0,0.9984848484848485,0.0015151515151515152,1.0,1.0,0.0,20
18,mirror,0.9411764705882353,0.0,0.9696969696969697,0.0,0.9696969696969697,0.030303030303030304,1.0,1.0,0.0,20
22,some,0.8661764705882353,0.0,0.9671592775041051,0.0,0.8924242424242425,0.10757575757575757,1.0,1.0,0.0,20
21,snake,0.9147058823529411,0.0,0.9688473520249221,0.0,0.9424242424242424,0.05757575757575758,1.0,1.0,0.0,20
20,skin,0.9676470588235294,0.0,0.9705014749262537,0.0,0.996969696969697,0.0030303030303030303,1.0,1.0,0.0,20
19,promise,0.9426470588235294,0.0,0.9697428139183056,0.0,0.9712121212121212,0.02878787878787879,1.0,1.0,0.0,20
17,measure,0.9632352941176471,0.0,0.9703703703703703,0.0,0.9924242424242424,0.007575757575757576,1.0,1.0,0.0,20
16,me,0.9661764705882353,0.0,0.9704579025110783,0.0,0.9954545454545455,0.004545454545454545,1.0,1.0,0.0,20
14,learn,0.95,0.0,0.96996996996997,0.0,0.9787878787878788,0.021212121212121213,1.0,1.0,0.0,20
13,how,0.9691176470588235,0.0,0.9705449189985272,0.0,0.9984848484848485,0.0015151515151515152,1.0,1.0,0.0,20
33,where,0.9573529411764706,0.0,0.970193740685544,0.0,0.9863636363636363,0.013636363636363636,1.0,1.0,0.0,20
